activity,spectrum_score,participation_rate_pct,estimated_participants,side
Australian football,1.0,2.42,547129,Traditional sport
Cricket,1.4,2.49,563967,Traditional sport
Football/soccer,1.8,5.62,1273027,Traditional sport
Basketball,2.2,4.53,1024360,Traditional sport
Netball,2.6,2.11,476973,Traditional sport
Tennis,3.4,4.94,1118407,Traditional sport
Cycling,5.9,8.29,1877339,Flexible lifestyle fitness
Swimming,6.5,15.39,3483472,Flexible lifestyle fitness
Running/jogging,7.3,16.53,3740484,Flexible lifestyle fitness
Yoga,8.1,5.07,1148005,Flexible lifestyle fitness
Fitness/Gym,8.8,34.1,7719043,Flexible lifestyle fitness
Walking,9.6,50.2,11363621,Flexible lifestyle fitness
